,类方体质,体感,身形,面色,皮肤,肤色,纹理,肌肉,肌表,上腹,下腹,腹部,腹肌,唇,目,舌体,舌色,舌面,舌苔,舌质,脉搏,胸背,胸肋,脚,四肢,大便,小便,经血,经色,心,血,唾液,胃,浮肿,,汗,寒冷,温热,发热,疼痛,恶风,恶寒,伤风,肌挛,便秘,睡眠,多梦,寒热往来,泌尿,关节,饮食,过敏,肩颈,鼻塞,打喷嚏,月经,头,手足,咳喘,感冒,流清涕,浮肿,呕吐,溃疡,耳鸣,幻觉,疲劳,头痛,精神,血压,有痰,口腔
王焯,桂枝体质,,瘦,,,白,细,较硬,湿,,,扁平,紧,淡红,有神,柔,暗淡,润,薄白,,,,,,,,,,,,,,,,,多汗,敏感,,,敏感,,,易感,易,易,浅,易,,,,,,,,,,,,,,,,,,,,,,,,,
,桂枝证,,,,,,,,,,,上冲,,,,,,,,,动悸,,,,,,,,,,,,,,,多汗,敏感,,易,,,,,,,失眠,,,,痛,,,,,,,,,,,,,,,,,,,,,,
,桂枝汤方证,,,,,,,,,,,,,,,,,,白,暗淡红,虚缓,,,,,,,,,,,,,,,多汗,,,易,,易,,,易,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,桂枝加附子汤方证,,,,湿,,,,,,,痛,,,,,,,,淡,弱,,,,,,,,,,,,,,,冷汗,,,,,,,,,,,,,,痛,,,,,,,,冷,,,,,,,,,,,,,,
,小建中汤方证,,,,,,,,,,,扁平,紧张,,,,,,少,嫩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,桂枝加大黄汤方证,,瘦,,,白,细,较硬,湿,,,扁平,紧,淡红,有神,柔,暗淡,润,厚干,,,,,,,,,,,,,,,,,多汗,敏感,,,敏感,,,易感,易,易,浅,易,,,,,,,,,,,,,,,,,,,,,,,,,
,桂枝加龙骨牡蛎汤方证,,,,,,,,,,,,,,,,,,少,嫩红,,,,,,,,,,,,,,,,自汗,,,,,,,,,,失眠,,,,,,,,,,,,,,,,,,,,,,,,,,
,当归四逆汤方证,,,,,,,,,,,,,,,,,,白,淡,细形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麻木冷,,,,,,,,,,,,,,
,温经汤方证,,,,,,,,,,,壁无力急胀痛,,燥,,,,,,暗淡型,,,,,,,,,,,,,,,,自汗,,,,,恶风,,,,,,,,,,,,,,,不调,易,心热,,,,,,,,,,易,,,,
,炙甘草汤方证,,瘦,,,,,,,,,,,,,,,,薄,,无力,,,,,,,,,,,,,,,,,,,,,,,,,失眠,易,,,,,,,,,,,,,,,,,,,,,,,,,
,苓桂术甘汤方证,,,,,,,,,,,软弱,,,,,,,,,,,,,,,不利或浮肿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,内有瘀血特征,,,,,,,,,,,,,,,,紫,晦暗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,桂枝茯苓丸方证,,,红或紫红,,,,,,,,包块按压痛,,,,,暗或有紫点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,枳实薤白桂枝汤方证,,,,,,,,,,,,,,,,,干腻,厚,暗而有瘀点,,闷痛,,,,干燥难解,,,,,,,,,,,,,,,,,,,易,,,,,,,,,,,,,,,,,,,,,,,,,,,
,桂枝芍药知母汤方证,,,暗黄或浮肿,,,,,,,,,,,,,,,,,,,,浮肿,,,,,,,,,,,,有,,,易,,易,,,,,,,,,肿痛,,,,,,,,,,,,,,,,,,,,,,
,麻黄证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,易,,无,,,,,,,,,,,,易,,,,,,易,,,易,,易,,,,,,,,,易,,,,
,麻黄体质,,略胖,,燥粗,黄黑,,发达或偏松,,,,,,暗红,,,,,白,淡,,,,,,,,,,,,,,,,无,,,,,,,,,,,,,,,,,,易,,,沉重,,,,易,易,,,,,,,,不高,,
,麻黄汤方证,,,,燥,,,,,,,,,,,,暗淡,,,,浮紧,,,,,,,,,,,,,,,无,,,易,,易,,,,,,,,,,,,,,,,痛,,,,,,,,,,,,,,,
,麻黄附子细辛汤方证,,,晦乏泽,,,,,,,,,,,,,,,白润,淡,沉迟细弱,,,,,,,,,,,,,,,无,,,,,,易,,,,,,,,,,,,,,,,冷,,,,,,,,,,,,,,
,小青龙汤方证,,,,,,,,,,,满,,,,,,,白滑,,,冷,,,,,,,,,,,,,,无,,,,,,易,,,,,,,,,,,,易,易,,,,易,,,,,,,,,,,,,
